iter	Passed	Remaining
314	1031	2243
315	1055	2284
316	1056	2276
317	1070	2296
318	1071	2287
319	1086	2309
320	1087	2300
321	1088	2292
322	1089	2284
323	1108	2312
324	1109	2304
325	1110	2295
326	1114	2293
327	1115	2285
328	1116	2277
329	1117	2269
330	1118	2261
331	1119	2253
332	1120	2245
333	1121	2237
334	1122	2229
335	1123	2221
336	1124	2213
337	1125	2205
338	1127	2197
339	1128	2190
340	1129	2183
341	1130	2175
342	1163	2228
343	1172	2236
344	1186	2251
345	1193	2256
346	1195	2249
347	1196	2241
348	1207	2251
349	1228	2281
350	1229	2273
351	1230	2265
352	1231	2257
353	1232	2249
354	1233	2241
355	1234	2233
356	1235	2225
357	1236	2218
358	1237	2210
359	1238	2202
360	1240	2194
361	1241	2187
362	1249	2192
363	1250	2184
364	1251	2177
365	1252	2170
366	1254	2162
367	1255	2155
368	1256	2148
369	1257	2140
370	1258	2133
371	1259	2126
372	1260	2119
373	1261	2112
374	1262	2104
375	1286	2134
376	1287	2127
377	1288	2120
378	1289	2113
379	1291	2106
380	1292	2099
381	1293	2092
382	1303	2099
383	1304	2091
384	1315	2100
385	1316	2093
386	1317	2086
387	1331	2100
388	1332	2093
389	1333	2086
390	1334	2079
391	1353	2098
392	1361	2102
393	1362	2095
394	1363	2087
395	1364	2080
396	1365	2073
397	1370	2073
398	1371	2066
399	1373	2059
400	1374	2052
401	1375	2045
402	1376	2038
403	1377	2032
404	1378	2025
405	1379	2018
406	1387	2021
407	1388	2014
408	1390	2008
409	1391	2001
410	1392	1995
411	1393	1988
412	1394	1981
413	1395	1974
414	1396	1968
415	1397	1961
416	1398	1954
417	1399	1948
418	1400	1941
419	1401	1935
420	1402	1928
421	1403	1922
422	1404	1915
423	1405	1909
424	1406	1903
425	1407	1896
426	1408	1890
427	1409	1883
428	1410	1877
429	1411	1871
430	1412	1864
431	1413	1858
432	1414	1852
433	1415	1846
434	1416	1840
435	1417	1834
436	1418	1827
437	1419	1821
438	1420	1815
439	1421	1809
440	1422	1803
441	1424	1797
442	1425	1791
443	1426	1786
444	1427	1780
445	1428	1774
446	1429	1768
447	1430	1762
448	1431	1756
449	1432	1750
450	1433	1744
451	1434	1738
452	1435	1733
453	1436	1727
454	1437	1721
455	1438	1716
456	1439	1710
457	1440	1704
458	1447	1706
459	1448	1700
460	1449	1694
461	1450	1689
462	1451	1683
463	1464	1691
464	1465	1685
465	1466	1680
466	1484	1694
467	1485	1688
468	1486	1683
469	1487	1677
470	1488	1672
471	1489	1666
472	1496	1667
473	1497	1662
474	1498	1656
475	1499	1651
476	1501	1645
477	1502	1640
478	1503	1635
479	1504	1629
480	1505	1624
481	1514	1627
482	1515	1621
483	1516	1616
484	1517	1611
485	1518	1605
486	1519	1600
487	1520	1595
488	1521	1589
489	1522	1584
490	1523	1579
491	1524	1574
492	1525	1569
493	1533	1571
494	1534	1565
495	1535	1560
496	1536	1555
497	1537	1550
498	1546	1552
499	1547	1547
500	1548	1542
501	1549	1537
502	1550	1531
503	1551	1526
504	1552	1521
505	1553	1516
506	1567	1524
507	1591	1541
508	1607	1550
509	1608	1545
510	1609	1540
511	1610	1535
512	1611	1530
513	1612	1524
514	1613	1519
515	1631	1530
516	1645	1537
517	1646	1532
518	1647	1527
519	1648	1521
520	1649	1516
521	1655	1515
522	1656	1510
523	1657	1505
524	1669	1510
525	1670	1505
526	1671	1500
527	1672	1494
528	1673	1489
529	1674	1484
530	1683	1486
531	1684	1481
532	1685	1476
533	1686	1471
534	1687	1466
535	1688	1461
536	1694	1460
537	1695	1455
538	1696	1450
539	1707	1454
540	1708	1449
541	1709	1444
542	1710	1439
543	1711	1434
544	1712	1429
545	1719	1429
546	1720	1424
547	1729	1426
548	1730	1421
549	1738	1422
550	1739	1417
551	1746	1417
552	1751	1415
553	1752	1411
554	1753	1406
555	1755	1401
556	1756	1396
557	1764	1397
558	1765	1392
559	1767	1388
560	1768	1383
561	1770	1379
562	1772	1375
563	1773	1370
564	1774	1366
565	1775	1361
566	1777	1357
567	1778	1352
568	1779	1348
569	1781	1343
570	1784	1340
571	1785	1336
572	1790	1334
573	1791	1329
574	1792	1325
575	1793	1320
576	1797	1317
577	1799	1313
578	1804	1312
579	1805	1307
580	1806	1302
581	1807	1298
582	1809	1293
583	1810	1289
584	1811	1284
585	1812	1280
586	1813	1275
587	1819	1275
588	1820	1270
589	1822	1266
590	1823	1261
591	1834	1264
592	1835	1259
593	1836	1255
594	1844	1255
595	1865	1264
596	1866	1259
597	1867	1255
598	1868	1250
599	1869	1246
600	1870	1241
601	1878	1242
602	1880	1237
603	1881	1233
604	1882	1228
605	1883	1224
606	1884	1219
607	1885	1215
608	1892	1214
609	1894	1211
610	1895	1206
611	1896	1202
612	1897	1198
613	1898	1193
614	1899	1189
615	1902	1186
616	1903	1181
617	1904	1177
618	1905	1173
619	1914	1173
620	1917	1170
621	1927	1171
622	1928	1166
623	1935	1165
624	1935	1161
625	1936	1157
626	1937	1152
627	1938	1148
628	1939	1144
629	1940	1139
630	1941	1135
631	1942	1131
632	1943	1126
633	1944	1122
634	1948	1120
635	1949	1115
636	1950	1111
637	1951	1107
638	1952	1103
639	1956	1100
640	1958	1096
641	1959	1092
642	1960	1088
643	1961	1084
644	1965	1081
645	1973	1081
646	1974	1077
647	1975	1073
648	1976	1069
649	1977	1065
650	1984	1063
651	1985	1059
652	1986	1055
653	1987	1051
654	1988	1047
655	1995	1046
656	1996	1042
657	1997	1038
658	1998	1034
659	2007	1034
660	2009	1030
661	2010	1026
662	2011	1022
663	2012	1018
664	2013	1014
665	2014	1010
666	2020	1008
667	2021	1004
668	2029	1004
669	2030	1000
670	2031	996
671	2032	992
672	2037	989
673	2038	985
674	2039	981
675	2040	977
676	2041	973
677	2042	969
678	2043	965
679	2044	962
680	2048	959
681	2049	955
682	2050	951
683	2051	947
684	2052	943
685	2053	940
686	2054	936
687	2055	932
688	2056	928
689	2057	924
690	2063	922
691	2064	918
692	2065	914
693	2066	911
694	2067	907
695	2068	903
696	2069	899
697	2070	895
698	2071	892
699	2072	888
700	2074	884
701	2075	880
702	2076	877
703	2081	875
704	2082	871
705	2083	867
706	2084	864
707	2085	860
708	2086	856
709	2087	852
710	2091	849
711	2091	846
712	2093	842
713	2094	838
714	2095	835
715	2096	831
716	2096	827
717	2097	823
718	2098	820
719	2100	816
720	2101	813
721	2103	809
722	2104	806
723	2105	802
724	2106	799
725	2109	796
726	2110	792
727	2111	788
728	2112	785
729	2113	781
730	2115	778
731	2116	774
732	2117	771
733	2118	767
734	2129	767
735	2131	764
736	2132	760
737	2133	757
738	2134	753
739	2135	750
740	2136	746
741	2137	743
742	2138	739
743	2139	736
744	2140	732
745	2141	729
746	2142	725
747	2143	722
748	2144	718
749	2145	715
750	2146	711
751	2147	708
752	2148	704
753	2149	701
754	2150	697
755	2151	694
756	2153	691
757	2154	687
758	2155	684
759	2156	681
760	2157	677
761	2158	674
762	2159	670
763	2161	667
764	2162	664
765	2163	660
766	2164	657
767	2165	654
768	2166	650
769	2167	647
770	2168	644
771	2169	640
772	2170	637
773	2171	634
774	2172	630
775	2173	627
776	2174	624
777	2175	620
778	2176	617
779	2177	614
780	2178	610
781	2179	607
782	2180	604
783	2181	601
784	2182	597
785	2183	594
786	2184	591
787	2185	588
788	2186	584
789	2187	581
790	2188	578
791	2189	575
792	2190	571
793	2191	568
794	2192	565
795	2193	562
796	2195	559
797	2196	555
798	2197	552
799	2198	549
800	2199	546
801	2200	543
802	2201	539
803	2201	536
804	2202	533
805	2203	530
806	2204	527
807	2205	524
808	2206	521
809	2208	517
810	2209	514
811	2210	511
812	2210	508
813	2211	505
814	2212	502
815	2213	499
816	2214	496
817	2215	493
818	2217	489
819	2218	486
820	2218	483
821	2219	480
822	2220	477
823	2221	474
824	2222	471
825	2223	468
826	2224	465
827	2225	462
828	2226	459
829	2227	456
830	2228	453
831	2230	450
832	2231	447
833	2232	444
834	2233	441
835	2234	438
836	2235	435
837	2236	432
838	2237	429
839	2238	426
840	2239	423
841	2240	420
842	2241	417
843	2242	414
844	2243	411
845	2244	408
846	2245	405
847	2246	402
848	2247	399
849	2249	396
850	2250	394
851	2252	391
852	2253	388
853	2254	385
854	2255	382
855	2256	379
856	2258	376
857	2260	374
858	2261	371
859	2262	368
860	2263	365
861	2264	362
862	2265	359
863	2266	356
864	2267	353
865	2268	351
866	2270	348
867	2271	345
868	2272	342
869	2273	339
870	2275	337
871	2276	334
872	2277	331
873	2279	328
874	2280	325
875	2281	322
876	2282	320
877	2284	317
878	2285	314
879	2286	311
880	2287	309
881	2288	306
882	2289	303
883	2291	300
884	2292	297
885	2293	295
886	2294	292
887	2295	289
888	2296	286
889	2297	284
890	2298	281
891	2300	278
892	2301	275
893	2302	272
894	2303	270
895	2304	267
896	2305	264
897	2306	261
898	2307	259
899	2308	256
900	2309	253
901	2310	251
902	2311	248
903	2312	245
904	2313	242
905	2314	240
906	2315	237
907	2316	234
908	2317	232
909	2319	229
910	2320	226
911	2321	224
912	2322	221
913	2323	218
914	2325	215
915	2326	213
916	2327	210
917	2328	207
918	2329	205
919	2330	202
920	2331	199
921	2332	197
922	2333	194
923	2334	192
924	2335	189
925	2336	186
926	2337	184
927	2338	181
928	2339	178
929	2340	176
930	2341	173
931	2342	170
932	2343	168
933	2344	165
934	2345	163
935	2346	160
936	2346	157
937	2348	155
938	2349	152
939	2350	150
940	2351	147
941	2353	144
942	2354	142
943	2355	139
944	2356	137
945	2357	134
946	2358	132
947	2359	129
948	2360	126
949	2361	124
950	2362	121
951	2363	119
952	2364	116
953	2365	114
954	2366	111
955	2367	108
956	2368	106
957	2369	103
958	2370	101
959	2371	98
960	2372	96
961	2373	93
962	2374	91
963	2375	88
964	2376	86
965	2377	83
966	2378	81
967	2379	78
968	2380	76
969	2381	73
970	2382	71
971	2383	68
972	2384	66
973	2385	63
974	2386	61
975	2387	58
976	2388	56
977	2389	53
978	2390	51
979	2391	48
980	2392	46
981	2393	43
982	2394	41
983	2395	38
984	2396	36
985	2397	34
986	2398	31
987	2399	29
988	2400	26
989	2401	24
990	2402	21
991	2403	19
992	2404	16
993	2405	14
994	2406	12
995	2407	9
996	2408	7
997	2409	4
998	2410	2
999	2411	0
