iter	RMSE
256	4674.044844
257	4673.842337
258	4673.470026
259	4673.179608
260	4672.993338
261	4672.750857
262	4672.579445
263	4672.434606
264	4672.242619
265	4672.143778
266	4672.04571
267	4671.925446
268	4671.64545
269	4671.440862
270	4671.129908
271	4670.950272
272	4670.797674
273	4670.460773
274	4670.184027
275	4669.944885
276	4669.717157
277	4669.560012
278	4669.229649
279	4668.991722
280	4668.828273
281	4668.569113
282	4668.42459
283	4668.154883
284	4668.044516
285	4667.807422
286	4667.678167
287	4667.488643
288	4667.352068
289	4667.202571
290	4667.03613
291	4666.940228
292	4666.742333
293	4666.560135
294	4666.345568
295	4666.24498
296	4666.071246
297	4665.849659
298	4665.603584
299	4665.363617
300	4665.18773
301	4664.89475
302	4664.752014
303	4664.509732
304	4664.34136
305	4664.164889
306	4664.051968
307	4663.870931
308	4663.671544
309	4663.474624
310	4663.374744
311	4663.147905
312	4663.020741
313	4662.924912
314	4662.833658
315	4662.723953
316	4662.542903
317	4662.391942
318	4662.1988
319	4661.987023
320	4661.765879
321	4661.637546
322	4661.482742
323	4661.333699
324	4661.228465
325	4661.083537
326	4660.936938
327	4660.82926
328	4660.771755
329	4660.611999
330	4660.418996
331	4660.232421
332	4660.153079
333	4660.071346
334	4659.950933
335	4659.649816
336	4659.510993
337	4659.348923
338	4659.173617
339	4658.975167
340	4658.757678
341	4658.556389
342	4658.433365
343	4658.309804
344	4658.125349
345	4657.919337
346	4657.779932
347	4657.641531
348	4657.543443
349	4657.408847
350	4657.269334
351	4657.158713
352	4657.076848
353	4656.95196
354	4656.827276
355	4656.663558
356	4656.509222
357	4656.363309
358	4656.282387
359	4656.13686
360	4655.987544
361	4655.761633
362	4655.630044
363	4655.543755
364	4655.424494
365	4655.229173
366	4655.141856
367	4654.978594
368	4654.854413
369	4654.67231
370	4654.574683
371	4654.418778
372	4654.286168
373	4654.108427
374	4654.018963
375	4653.845903
376	4653.759982
377	4653.688083
378	4653.511728
379	4653.368333
380	4653.17355
381	4653.095471
382	4652.998192
383	4652.902041
384	4652.82495
385	4652.755541
386	4652.690224
387	4652.608721
388	4652.49494
389	4652.416938
390	4652.280042
391	4652.199437
392	4652.076774
393	4651.970872
394	4651.831341
395	4651.713572
396	4651.542648
397	4651.383659
398	4651.30229
399	4651.197034
400	4651.083685
401	4650.996427
402	4650.83775
403	4650.66283
404	4650.562345
405	4650.483455
406	4650.345308
407	4650.194808
408	4650.10067
409	4650.007676
410	4649.91602
411	4649.717288
412	4649.63832
413	4649.52634
414	4649.368123
415	4649.161859
416	4649.045933
417	4648.947375
418	4648.856051
419	4648.701288
420	4648.659936
421	4648.567341
422	4648.402029
423	4648.323378
424	4648.236064
425	4648.17439
426	4648.115065
427	4648.011292
428	4647.875649
429	4647.787203
430	4647.739674
431	4647.737266
432	4647.654357
433	4647.615027
434	4647.57165
435	4647.495914
436	4647.398838
437	4647.34709
438	4647.263327
439	4647.125415
440	4647.064586
441	4646.964399
442	4646.839308
443	4646.769833
444	4646.634943
445	4646.575858
446	4646.475116
447	4646.363302
448	4646.284601
449	4646.24879
450	4646.185097
451	4646.010111
452	4645.929207
453	4645.8186
454	4645.750446
455	4645.662954
456	4645.520447
457	4645.40457	4256.94636
458	4256.867923
459	4256.727975
460	4256.63165
461	4256.564209
462	4256.473034
463	4256.42215
464	4256.34018
465	4256.263313
466	4256.186231
467	4256.106088
468	4256.040544
469	4255.933472
470	4255.865344
471	4255.80906
472	4255.770113
473	4255.704598
474	4255.658206
475	4255.604352
476	4255.53444
477	4255.469006
478	4255.479	4643.516096
480	4643.38092
481	4643.337645
482	4643.223021
483	4643.173488
484	4643.126642
485	4643.04429
486	4642.947047
487	4642.897116
488	4642.821644
489	4642.733922
490	4642.608277
491	4642.549885
492	4642.489863
493	4642.396911
494	4642.319524
495	4642.260897
496	4642.173569
497	4642.10503
498	4642.057466
499	4641.956206
500	4641.893498
501	4641.839594
502	4641.74433
503	4641.70694
504	4641.666226
505	4641.602979
506	4641.57261
507	4641.496876
508	4641.383964
509	4641.358318
510	4641.282343
511	4641.151264
512	4641.058995
513	4641.005778
514	4640.910352
515	4640.809787
516	4640.717338
517	4640.667532
518	4640.564004
519	4640.47996
520	4640.383263
521	4640.303601
522	4640.186768
523	4640.138432
524	4640.524	4252.29936
525	4252.223701
526	4252.172321
527	4252.14202
528	4252.107161
529	4252.051913
530	4251.98113
531	4251.927321
532	4251.859326
533	4251.793568
534	4251.762889
535	4251.678479
536	4251.644254
537	4251.567438
538	4251.481499
539	4251.438218
540	4251.376198
541	4251.353759
542	4251.299692
543	4251.263079
544	4251.193307
545	4251.159346
546	4251.121903
547	4251.046738
548	4251.020301
549	4250.959153
550	4250.890736
551	4250.815437
552	4250.77018
553	4250.720671
554	4250.622249
555	4250.578701
556	4250.524818
557	4250.471458
558	4250.426318
559	4250.374176
560	4250.314962
561	4250.272569
562	4250.238915
563	4250.171192
564	4250.100219
565	4250.061758
566	4250.014997
567	4249.947764
568	4249.914043
569	4249.895514
570	4249.819679
571	4249.793289
572	4249.742522
573	4249.713023
574	4249.640761
575	4249.615691
576	4249.579772
577	4249.551874
578	4249.522254
579	4249.478061
580	4249.434043
581	4249.368674
582	4249.296486
583	4249.25396
584	4249.234902
585	4249.181689
586	4249.088318
587	4249.027966
588	4248.987179
589	4248.929158
590	4248.863398
591	4248.825479
592	4248.794548
593	4248.760703
594	4248.709616
595	4248.677526
596	4248.641146
597	4248.607465
598	4248.534979
599	4248.444528
600	4248.383988
601	4248.337761
602	4248.303424
603	4248.259326
604	4248.22718
605	4248.200223
606	4248.172754
607	4248.083292
608	4248.030234
609	4247.989105
610	4247.949217
611	4247.904404
612	4247.842071
613	42614	4634.004463
615	4633.9615	4616	4633.89616	4617	4633.83617	4618	4633.78618	4619	4633.72619	4620	4633.65620	4621	4633.62621	4247.422734
622	4247.395709
623	624	4633.382336
625	4633.345531
626	4633.288782
627	4633.226781
628	4633.137326
629	4633.113604
630	4633.058576
631	4633.010195
632	4632.929499
633	4632.87785
634	4632.840807
635	4632.813471
636	4632.755324
637	4632.711153
638	4632.670137
639	4632.628787
640	4632.557455
641	4632.524166
642	4632.461921
643	4632.434982
644	4632.37916
645	4632.318277
646	4632.24222
647	4632.175985
648	4632.141254
649	4632.105694
650	4632.05656
651	4632.035606
652	4632.00175
653	4631.960359
654	4631.91553
655	4631.865508
656	4631.850505
657	4631.81448
658	4631.788081
659	4631.753681
660	4631.703021
661	4631.645676
662	4631.587465
663	4631.5587
664	4631.513943
665	4631.474487
666	4631.390839
667	4631.318688
668	4631.282828
669	4631.228904
670	4631.18324
671	4631.11972
672	4631.05496
673	4630.965344
674	4630.929545
675	4630.891726
676	4630.840917
677	4630.771215
678	4630.717988
679	4630.666955
680	4630.602965
681	4630.52511
682	4630.469483
683	4630.404695
684	4630.388225
685	4630.337636
686	4630.283241
687	4630.241827
688	4630.215806
689	4630.188148
690	4630.16516
691	4630.132571
692	4630.115149
693	4630.068221
694	4630.021106
695	4630.001591
696	4629.967486
697	4629.921488
698	4629.854381
699	4629.798057
700	4629.741372
701	4629.66163
702	4629.622887
703	4629.595692
704	4629.556679
705	4629.478705
706	4629.436765
707	4629.392
708	4629.343815
709	4629.310234
710	4629.272936
711	4629.231323
712	4629.187028
713	4629.157822
714	4629.1328
715	4629.095329
716	4629.065058
717	4629.016399
718	4628.97443
719	4628.940073
720	4628.893856
721	4628.854938
722	4628.822436
723	4628.791848
724	4628.742906
725	4628.692767
726	4628.651743
727	4628.620601
728	4628.582368
729	4628.534306
730	4628.506606
731	4628.454487
732	4628.416884
733	4628.389531
734	4628.34573
735	4628.303537
736	4628.274879
737	4628.238521
738	4628.191862
739	4628.17511
740	4628.139949
741	4628.1018
742	4628.084831
743	4628.048408
744	4628.01084
745	4627.943997
746	4627.890456
747	4627.838217
748	4627.791758
749	4627.766005
750	4627.715556
751	4627.678121
752	4627.643032
753	4627.617324
754	4627.585662
755	4627.535825
756	4627.503744
757	4627.477875
758	4627.44902
759	4627.429062
760	4627.403374
761	4627.377201
762	4627.348788
763	4627.313486
764	4627.244918
765	4627.226651
766	4627.197798
767	4627.158524
768	4627.129376
769	4627.088668
770	4627.054038
771	4627.012449
772	4626.963142
773	4626.931034
774	4626.918664
775	4626.884378
776	4626.860593
777	4626.845582
778	4626.800507
779	4626.764598
780	4626.733785
781	4626.703543
782	4626.662523
783	4626.644694
784	4626.613036
785	4626.565548
786	4626.535939
787	4626.511699
788	4626.484319
789	4626.462792
790	4626.425937
791	4626.381847
792	4626.361373
793	4626.33755
794	4626.312266
795	4626.272605
796	4626.241594
797	4626.194748
798	4626.141777
799	4626.087636
800	4626.073297
801	4626.021189
802	4625.997086
803	4625.972987
804	4625.93898
805	4625.909932
806	4625.891729
807	4625.846522
808	4625.8294
809	4625.783698
810	4625.761001
811	4625.732627
812	4625.707603
813	4625.67857
814	4625.658057
815	4625.629407
816	4625.594442
817	4625.544251
818	4625.520364
819	4625.485235
820	4625.454597
821	4625.447137
822	4625.429968
823	4625.387951
824	4625.368859
825	4625.348805
826	4625.333092
827	4625.296604
828	4625.270118
829	4625.246923
830	4625.228625
831	4625.192059
832	4625.153186
833	4625.129281
834	4625.110188
835	4625.076471
836	4625.04805
837	4625.014161
838	4624.979465
839	4624.950611
840	4624.923035
841	4624.897258
842	4624.88468
843	4624.84725
844	4624.831674
845	4624.831515
846	4624.794188
847	4624.775388
848	4624.762032
849	4624.727449
850	4624.705495
851	4624.680066
852	4624.651225
853	4624.631363
854	4624.609851
855	4624.59318
856	4624.573631
857	4624.563122
858	4624.499035
859	4624.481617
860	4624.45722
861	4624.408689
862	4624.387374
863	4624.346314
864	4624.318508
865	4624.291184
866	4624.26085
867	4624.237682
868	4624.220641
869	4624.204585
870	4624.166551
871	4624.129219
872	4624.102229
873	4624.088608
874	4624.057178
875	4624.0373
876	4624.0166
877	4623.98665
878	4623.950312
879	4623.913263
880	4623.889417
881	4623.847471
882	4623.828128
883	4623.806309
884	4623.760832
885	4623.745896
886	4623.734233
887	4623.705494
888	4623.690035
889	4623.666576
890	4623.62168
891	4623.601343
892	4623.577298
893	4623.564654
894	4623.539368
895	4623.533985
896	4623.507504
897	4623.472485
898	4623.452441
899	4623.415466
900	4623.394289
901	4623.368899
902	4623.356615
903	4623.31542
904	4623.276382
905	4623.241129
906	4623.202025
907	4623.175221
908	4623.159782
909	4623.117587
910	4623.106609
911	4623.064299
912	4623.04773
913	4623.030725
914	4622.98059
915	4622.944497
916	4622.928942
917	4622.892127
918	4622.868183
919	4622.823124
920	4622.806094
921	4622.789153
922	4622.755225
923	4622.730822
924	4622.711894
925	4622.693681
926	4622.674078
927	4622.658053
928	4622.633989
929	4622.617529
930	4622.60417
931	4622.585658
932	4622.550374
933	4622.529261
934	4622.507857
935	4622.488856
936	4622.461222
937	4622.446919
938	4622.411476
939	4622.39921
940	4622.380879
941	4622.365661
942	4622.349342
943	4622.325868
944	4622.301928
945	4622.284233
946	4622.265977
947	4622.24735
948	4622.22195
949	4622.204433
950	4622.18446
951	4622.169889
952	4622.146352
953	4622.133224
954	4622.112963
955	4622.095777
956	4622.083381
957	4622.063339
958	4622.049532
959	4622.035731
960	4622.014446
961	4622.005106
962	4621.974919
963	4621.960373
964	4621.935118
965	4621.921122
966	4621.905364
967	4621.880083
968	4621.858401
969	4621.830642
970	4621.813266
971	4621.792964
972	4621.773694
973	4621.755621
974	4621.73345
975	4621.714732
976	4621.69176
977	4621.660558
978	4621.640275
979	4621.612688
980	4621.59998
981	4621.579598
982	4621.564816
983	4621.545996
984	4621.521574
985	4621.502227
986	4621.493444
987	4621.474969
988	4621.449427
989	4621.440967
990	4621.413881
991	4621.39971
992	4621.378745
993	4621.352358
994	4621.34122
995	4621.329331
996	4621.317566
997	4621.297518
998	4621.280938
999	4621.261614
998	4237.729322
999	4237.722437
9
